ROWID  RA DEC PSFMAG_R PRIORITY_FLAG
901005013909920  302.3369542786  -58.3260355377 17.56 5
901005014007360  302.7130008017  -58.3310124506 16.72 7
901005014009788  302.8271163408  -58.1727697176 16.67 7
901005014100131  302.8350090874  -58.1634555241 17.66 5
901005014107824  303.1905566177  -58.3276253593 17.63 5
901005014201293  303.3656247884  -58.2124530829 16.70 7
901005014202737  303.4334246070  -58.3451138509 17.73 5
901005014210093  303.7794167043  -58.1881480705 17.24 7
901005014300170  303.7813723609  -58.2752065803 17.02 7
901005014403232  304.3973164127  -58.2016098938 16.86 7
901005014405642  304.5096268021  -58.1646369129 16.95 7
901005014501106  304.7712503303  -58.2787332631 17.21 7
901005014501113  304.7714707975  -58.1989147477 17.16 7
901005014605050  305.4182988561  -58.2725703714 16.95 7
901005014607770  305.5418112115  -58.3575251208 17.62 5
901005014609647  305.6312722216  -58.3518788453 17.73 5
901005014700298  305.6774790363  -58.2266340302 17.78 5
901005014701484  305.7327055894  -58.2649922137 16.93 7
901005014801385  306.2085977620  -58.2781888392 16.70 7
901005014802051  306.2406915821  -58.3277097254 16.68 7
901005014802289  306.2512742807  -58.1847465823 17.48 6
901005014904556  306.8259935775  -58.2041600263 17.02 7
901005014909437  307.0414755739  -58.2666276429 17.88 5
901005015007931  307.4181164425  -58.3672465950 17.33 6
901005015009472  307.4887343029  -58.3713656499 17.06 7
901005046208511   94.3266647765  -57.9775131209 17.74 5
901005046209517   94.3626111090  -57.9099011334 17.02 7
901005046303378   94.5946018132  -57.9837879748 17.09 7
901005046310901   94.8924077925  -57.9548563507 16.84 7
901005046311728   94.9210473831  -57.9658812923 17.53 5
901005046411409   95.3985334537  -57.9538330059 17.51 5
901005046504307   95.5856428209  -58.0318346840 17.58 5
901005046508397   95.7678718197  -58.0805743251 16.80 7
901005046601585   95.9387315855  -57.9976059905 17.01 7
901005046602183   95.9634438813  -58.1014659415 17.22 7
901005046702846   96.4760330299  -58.0108087304 17.01 7
901005046707716   96.7351843468  -57.8928425346 17.21 7
901005046905639   97.5932827800  -58.0891023662 17.30 6
901005046905734   97.5995739618  -58.0735339435 17.77 5
901005047001161   97.8219406233  -58.0092447677 16.99 7
901005047005286   98.0651168344  -57.9747161204 16.80 7
901005047101473   98.3081856412  -58.0791421129 17.55 5
901005047102409   98.3604846645  -58.0013313332 16.75 7
901005047103364   98.4153305489  -58.0145205918 17.46 6
901005047104130   98.4613059904  -57.9449247983 16.79 7
901005047104415   98.4804201034  -57.9441996879 16.92 7
901005090106014  300.6218917599  -57.9485791638 16.81 7
901005090203077  300.9155015324  -58.0047487444 17.55 5
901005090206987  301.0947429534  -57.9551492434 16.99 7
901005090300979  301.2983266887  -57.9548063589 16.96 7
901005090307360  301.5972874523  -57.9904575030 16.60 7
901005090504659  302.3874382108  -58.0738845170 17.00 7
901005090606152  302.9295796251  -57.9451260072 17.14 7
901005090607600  302.9962116488  -57.9272695419 16.95 7
901005090701029  303.1781942649  -57.9511160577 17.32 6
901005090701774  303.2118411735  -58.0461183371 16.96 7
901005090706822  303.4327320708  -57.9040569388 17.69 5
901005090803504  303.7541759341  -58.0907422028 17.26 6
901005090804923  303.8167758776  -58.1036039436 17.39 6
901005090805498  303.8439052914  -57.8773844200 17.03 7
901005090810020  304.0353453779  -57.8882269561 17.43 6
901005090910292  304.5228230822  -57.9240058139 16.91 7
901005091000240  304.5489585926  -57.8939585163 17.11 7
