ROWID  RA DEC PSFMAG_R
901003750509153   64.6014786583  -62.5883550551 14.29
901003750609538   65.0843669576  -62.4850951038 13.83
901003750704872   65.4203600751  -62.4728092485 14.10
901003750711085   65.6890500932  -62.4270910871 14.06
901003750810765   66.2062736587  -62.5813577512 14.16
901003750909134   66.6674213573  -62.4702017686 13.92
901003750911258   66.7569263754  -62.6188237916 14.31
901003751003016   66.9399561126  -62.4252364478 14.32
901003751006246   67.0779309181  -62.4988968656 14.07
901003751010856   67.2661465586  -62.5922874495 13.89
901003751011919   67.3114972031  -62.4421611526 14.00
901003751102761   67.4736514472  -62.4930443270 14.03
901003751104289   67.5354217116  -62.3750788553 13.86
901003751108624   67.7101771804  -62.6076572662 13.82
901003751111681   67.8307489356  -62.4170722186 13.65
901003751200494   67.9159341811  -62.6081558084 13.96
901003751313796   68.9421806365  -62.4243093491 13.69
901003751402510   69.0556399800  -62.4880131250 14.01
901003751501246   69.5610559052  -62.5827722496 14.25
901003751504785   69.6863318004  -62.4604042703 14.18
901003751609735   70.3980624885  -62.5632845492 13.83
901003751705674   70.7838142212  -62.5352074711 13.50
901003751706111   70.8003940812  -62.5469098474 13.96
901003751707809   70.8623523780  -62.4158196795 13.96
901003751713186   71.0576958455  -62.3861857672 14.23
901003751809610   71.4523590977  -62.4106372519 14.37
901003751809801   71.4587878738  -62.4277245419 14.13
901003751813043   71.5704637736  -62.4426824135 14.01
901003751813173   71.5768643494  -62.5293996995 14.26
901003751908148   71.9449420793  -62.5349449525 14.23
901003751915596   72.2045886148  -62.5616384197 13.90
901003752000802   72.2329484808  -62.4688239403 14.25
901003752006297   72.4121090709  -62.4259734288 13.56
901003817110598   62.9900671072  -62.3436250322 14.34
901003817205212   63.2681317599  -62.3447175540 13.84
901003817205771   63.2968102684  -62.2952227046 14.31
901003817206282   63.3242886151  -62.2135691393 14.18
901003817208804   63.4754293683  -62.2247428745 14.23
901003817209344   63.5045166395  -62.2638884718 13.89
901003817302848   63.7200186342  -62.2695309263 14.07
901003817304922   63.8348771260  -62.2775543196 13.67
901003817308122   63.9949104935  -62.1907452307 13.55
901003817400533   64.1184980503  -62.2014980048 13.68
901003817400593   64.1221717526  -62.1571060821 13.97
901003817400833   64.1354930111  -62.1960939602 13.63
901003817402633   64.2341370960  -62.2916859119 14.13
901003817404167   64.3109200202  -62.2845209391 13.94
901003817404891   64.3469052005  -62.2742963266 13.91
901003817405079   64.3551813698  -62.3483560706 14.02
901003817409434   64.5861439873  -62.2451688126 13.86
901003817410019   64.6151863147  -62.3438641499 13.92
901003817504167   64.8237136636  -62.1506404101 13.78
901003817507741   64.9908753662  -62.1286781953 13.37
901003817507794   64.9932490037  -62.1739667734 14.30
901003817509221   65.0521780084  -62.3596570752 13.92
901003817509702   65.0706895074  -62.1766682988 13.81
901003817509882   65.0776527992  -62.1883581642 14.23
901003817700824   65.7320196402  -62.3175420944 13.97
901003817703038   65.8345172551  -62.2376208379 14.09
901003817803921   66.4046413232  -62.3410859771 14.26
901003817805035   66.4529440825  -62.2745171381 14.27
901003817809472   66.6351999167  -62.2306143077 14.37
901003817809984   66.6552205171  -62.1329095743 13.60
901003817902892   66.8676535595  -62.1958592615 14.42
901003817905174   66.9563623865  -62.3402929223 14.40
901003817906191   66.9968752881  -62.3012234864 14.12
901003818001370   67.3474595558  -62.3689447945 13.76
901003818004466   67.4667505672  -62.1658555817 14.20
901003818013117   67.7947040788  -62.2881894506 14.43
901003818109007   68.1710483630  -62.2716062031 13.69
901003818112085   68.2898762941  -62.1891286159 13.94
901003818211774   68.8077216684  -62.2450805350 14.18
901003818305449   69.0911374416  -62.2529434709 14.18
901003818306071   69.1124557486  -62.2074827011 14.31
901003818312536   69.3190937644  -62.1694450176 14.34
901003818314702   69.3876146688  -62.1768316136 14.00
901003818407403   69.7195049867  -62.2052396955 14.00
901003818411429   69.8793180101  -62.3484734571 14.13
901003818501590   70.0213369157  -62.2295212514 13.73
901003818505106   70.1629282904  -62.2094842441 14.16
901003818505892   70.1940583528  -62.2839047470 14.20
901003818605719   70.7223917488  -62.1302542431 13.50
901003818606988   70.7670950326  -62.1840113535 13.78
901003818607609   70.7893225868  -62.1996798359 13.56
901003818608048   70.8046380904  -62.1653907817 13.46
901003818612501   70.9561885402  -62.2745786967 14.04
901003818613895   71.0044890963  -62.2921385821 13.94
901003818700853   71.0623069893  -62.2740377230 14.12
901003818702707   71.1245081891  -62.2606079634 13.52
901003818703788   71.1624609893  -62.3448058441 13.92
901003818704884   71.2012232596  -62.3520067913 14.21
901003818713640   71.4984227158  -62.2562514917 14.32
901003818714049   71.5118675028  -62.3461148447 14.24
901003818805032   71.7380404464  -62.1675105635 13.54
901003818808322   71.8473290898  -62.2335759413 14.07
901003818810890   71.9344457710  -62.1555300927 13.58
901003818813021   72.0058152912  -62.2555052296 14.07
901003818907487   72.3432614623  -62.3664784332 13.81
901003818907865   72.3561321183  -62.2189018326 13.78
901003818910761   72.4494894231  -62.3170919199 13.47
901003819001751   72.6919932543  -62.2985855252 13.98
901003819004089   72.7650382419  -62.3000759140 13.58
901003819010703   72.9932115246  -62.3264501097 14.00
901003819014946   73.1338183381  -62.3202984508 14.34
901003884700651   63.0282182906  -61.8771612412 13.86
901003884701416   63.0708826819  -61.9289919612 14.06
901003884703731   63.1970748973  -62.0005732100 13.65
901003884703807   63.2006376657  -62.0966868576 13.92
901003884706976   63.3750701823  -62.0738501375 13.91
901003884805692   63.8293063462  -61.9779185469 13.63
901003884807186   63.9026188876  -62.0965979856 14.23
901003884905996   64.3546249842  -61.8914470427 14.03
901003884910234   64.5775556352  -62.0092034090 14.21
901003885003564   64.7621470483  -61.9842603158 14.05
901003885007359   64.9412848390  -62.0498968321 14.50
901003885008574   65.0009382701  -62.1182947258 14.20
901003885010264   65.0782484804  -61.9869323347 14.23
901003885105918   65.3823145886  -61.8760018757 14.39
901003885108714   65.5085724959  -61.9470667456 13.85
901003885202114   65.7450541080  -62.0997015340 13.79
901003885202336   65.7557277131  -62.0565523683 14.04
901003885210141   66.1285840787  -61.8970270514 13.69
901003885210773   66.1581294826  -62.0635348160 13.94
901003885407261   67.0098746994  -61.9678233777 13.68
901003885505887   67.4565430511  -61.9138410690 14.24
901003885507734   67.5222349511  -61.9774296840 14.44
901003885510315   67.6222620569  -62.0161565452 14.06
901003885512876   67.7230846307  -61.8799036819 14.15
901003885601348   67.8104953812  -62.1197928133 14.05
901003885602764   67.8593628281  -61.9797575864 14.20
901003885607690   68.0387579829  -61.9921591195 14.16
901003885701117   68.3289863063  -62.1044585263 13.87
901003885701420   68.3420895997  -62.0976517192 13.77
901003885707507   68.5785191696  -62.0545714652 14.08
901003885901623   69.4201116652  -61.9411458158 14.05
901003886001637   69.9436704508  -61.9213985488 14.03
901003886004834   70.0718052334  -62.0637990730 13.60
901003886006159   70.1288481980  -62.1169834894 14.31
901003886007603   70.1910362873  -61.9632269410 14.04
901003886009998   70.2894478738  -61.9522525181 13.54
901003886107422   70.7053103828  -61.9747339369 13.65
901003886112380   70.9003695611  -62.0283984210 13.88
901003886200623   70.9623187821  -62.1227200477 14.09
901003886202528   71.0368710709  -61.9460516076 13.98
901003886207104   71.2134487378  -62.0618270356 14.17
901003886303193   71.5890442086  -61.8972558820 13.72
901003886303997   71.6176383072  -61.9192670644 13.73
901003886410304   72.3449962796  -62.0790242042 14.37
901003886414078   72.4793706874  -61.9025261694 13.82
901003886414852   72.5074831208  -61.9880196680 13.99
901003886502036   72.5964674825  -62.0224587009 13.98
901003886510141   72.8764823424  -62.0393272142 13.65
901003952708066   62.8831413465  -61.6708673159 14.14
901003952802933   63.1336964288  -61.6391588826 13.72
901003952803281   63.1533607806  -61.6922662320 14.28
901003952803534   63.1668390970  -61.7126657309 14.12
901003952808880   63.4674642176  -61.7966095286 14.30
901003952903936   63.7113097620  -61.8624317550 14.36
901003953000217   64.0280869134  -61.7642684294 13.73
901003953002593   64.1420878157  -61.8523512993 13.91
901003953002719   64.1480382658  -61.6349659181 14.32
901003953008205   64.4256678951  -61.7812159645 14.24
901003953203113   65.2261091137  -61.8216513269 13.99
901003953300598   65.6172048136  -61.7159528799 13.66
901003953304206   65.7660437933  -61.8109733329 13.87
901003953500514   66.6641858641  -61.6667578607 14.23
901003953500719   66.6727450374  -61.7393671974 13.67
901003953501535   66.7077177772  -61.7810450493 14.19
901003953503637   66.8032802474  -61.7857591126 13.86
901003953503773   66.8089004392  -61.8285066410 13.72
901003953600433   67.1881529528  -61.7206241946 13.93
901003953600515   67.1923775694  -61.7487336309 14.33
901003953606304   67.4458586771  -61.8031626220 14.32
901003953700949   67.7276071604  -61.8150427682 14.01
901003953703925   67.8423284959  -61.7913754104 14.45
901003953705909   67.9204840251  -61.7257576885 13.93
901003953803323   68.3481159119  -61.8042590186 13.97
901003953807955   68.5368398090  -61.7533435360 14.00
901003953809263   68.5924214895  -61.8025905005 13.95
901003953812728   68.7424733362  -61.6434831128 14.09
901003953900346   68.7559507160  -61.6722457219 14.37
901003953900585   68.7672230456  -61.7230032183 13.75
901003953904461   68.9433543108  -61.7236328239 14.43
901003953907411   69.0846323798  -61.8076589811 13.87
901003953909145   69.1623795264  -61.7659025583 13.85
901003954002272   69.3669602287  -61.7381930998 14.12
901003954003745   69.4321079544  -61.7449021180 14.02
901003954008027   69.6265008788  -61.8235705384 13.66
901003954102171   69.8890800496  -61.7942606405 14.22
901003954105879   70.0574830055  -61.6936605748 14.26
901003954107780   70.1416270468  -61.7056268333 13.64
901003954108274   70.1643376287  -61.6639774013 14.08
901003954109515   70.2198074117  -61.7973181206 13.87
901003954205566   70.5620110438  -61.7158956117 14.36
901003954205952   70.5811898187  -61.7439401883 13.79
901003954206707   70.6155138782  -61.6324609795 13.85
901003954303490   70.9800300033  -61.6946543471 13.68
901003954303553   70.9832950425  -61.8259679767 13.65
901003954305185   71.0490257081  -61.6654719505 14.31
901003954308304   71.1666490121  -61.7537713467 13.55
901003954310343   71.2553342968  -61.8191272382 14.18
901003954311217   71.2915435033  -61.6372627569 13.90
901003954400860   71.3988695575  -61.6489382987 13.81
901003954402258   71.4569102051  -61.6508033910 13.50
901003954407015   71.6535461131  -61.8392857602 14.02
901003954407735   71.6848123893  -61.8072151771 14.30
901003954407847   71.6910254585  -61.8289823397 13.99
901003954410732   71.8132960305  -61.7929556256 13.90
901003954410838   71.8179212026  -61.7614917857 14.16
901003954500355   71.9031662321  -61.8470940497 13.84
901003954502107   71.9681303255  -61.6255672663 13.79
901003954502192   71.9716017172  -61.8453133922 13.73
901003954503209   72.0080975410  -61.8231566797 14.18
901003954506785   72.1454397856  -61.8211507994 14.07
901003954506983   72.1547536880  -61.8115817051 13.38
901003954507491   72.1776072700  -61.8393264862 13.84
901003954512495   72.3814328075  -61.6795580097 14.29
901003954512942   72.3994357773  -61.7270642274 14.17
901003954604005   72.5602224743  -61.7467515213 14.03
901003954608493   72.7235719418  -61.6435043688 14.20
901003954614207   72.9283415663  -61.7299053413 14.12
901004021407641   62.9680807420  -61.4096673047 13.83
901004021510667   63.6233954034  -61.5644065105 13.99
901004021600213   63.6577321020  -61.4650218536 14.08
901004021603159   63.7918878797  -61.5885464586 14.33
901004021605938   63.9119437389  -61.3939452265 13.63
901004021606668   63.9433081219  -61.5451758866 14.36
901004021609906   64.0952399365  -61.4595449446 14.26
901004021701763   64.2478569296  -61.4086175948 14.46
901004021702497   64.2832941719  -61.4286975328 14.04
901004021710153   64.6444592510  -61.5498584702 14.07
901004021801806   64.7772094619  -61.5910387099 14.07
901004021804067   64.8932165564  -61.4114601105 14.37
901004021804802   64.9294685265  -61.4999073443 13.70
901004021805390   64.9575979019  -61.5818937260 14.05
901004021807420   65.0527167864  -61.5124004476 13.99
901004021808301   65.0922772297  -61.3819307233 13.90
901004021900638   65.2405650067  -61.5088027455 14.25
